Time;ROI1;ROI2;ROI3;ROI4;ROI5;ROI6;ROI7;ROI8;ROI9;ROI10;ROI11;ROI12;ROI13;ROI14;ROI15;ROI16;ROI17;ROI18;ROI19;ROI20;ROI21;ROI22;ROI23;ROI24;ROI25;ROI26;ROI27;ROI28;ROI29;ROI30;ROI31;ROI32;ROI33;ROI34;ROI35;ROI36;ROI37;ROI38;ROI39;ROI40
1,698;91,6886;88,1383;80,4579;66,48791;73,6847;86,5763;77,3201;76,1509;74,89255;73,4072;72,17973;69,5852;71,60136;100,09143;87,87495;146,642;101,72733;222,06667;78,84538;71,10286;67,0163;67,32262;77,09164;77,40984;71,58023;68,75686;67,66866;77,04967;63,92666;97,4599;95,3367;105,218;161,65851;91,66846;79,81231;186,10184;86,47296;67,92424;98,50119;97,1885
1,769;91,582;87,8896;80,6485;66,80405;73,5564;86,3998;77,16766;76,1026;75,21207;73,4785;72,15876;69,50985;72,26539;100,29786;87,56642;147,1431;101,66926;222,18127;78,96642;71,19653;67,41255;67,395;77,2542;77,05536;71,7338;69,05515;67,8676;76,92115;63,89695;97,4968;95,4085;105,39825;161,66844;91,9133;79,70059;186,22296;86,25072;67,83251;98,49285;97,0913
1,8389984;91,6557;88,085;80,0493;66,70633;73,5875;86,5838;77,25053;75,943;75,14016;73,6623;72,2817;69,61109;71,91926;99,97643;88,22934;146,4943;101,57417;222,24719;78,80968;71,31097;67,28149;67,03027;77,2094;77,3334;71,46971;69,09515;67,99911;76,86866;63,83894;97,6262;95,1921;105,32536;161,81136;91,72223;79,61893;186,23248;86,33955;68,09898;98,60173;97,1526
1,91;91,1521;87,4737;80,1456;66,77522;73,8657;86,3424;77,17364;76,0984;75,01056;73,5368;72,2091;69,63041;71,62789;99,99232;88,20294;146,7338;101,51272;222,39276;78,79278;71,39101;67,25433;67,23245;77,33318;77,65525;71,39957;69,51552;67,82124;76,81593;63,81282;97,2365;95,1011;105,23903;161,71301;91,92037;79,71555;186,19829;86,32102;67,68941;98,62868;96,9722
1,981;91,2971;87,5838;79,9286;66,68996;74,0005;86,2963;77,29004;75,719;74,96912;73,5427;72,28654;69,81066;71,45172;99,97678;88,20597;146,8004;101,36748;222,49863;78,84221;70,78372;67,13785;67,30733;77,35565;77,24648;71,23486;69,5586;67,8024;76,75832;63,90759;97,2777;95,2718;105,3298;161,86084;91,59907;79,73117;185,75897;86,56751;67,82555;98,50715;96,9702
2,052;91,1171;87,5799;80,077;66,57806;73,61;86,4344;77,32549;75,4783;75,18891;73,6617;72,35011;69,69861;71,33597;100,0816;88,32584;146,9404;101,71419;222,55257;78,85403;70,64748;67,14674;67,15788;77,19041;77,32672;71,20616;69,81097;68,04014;76,88556;63,73042;97,3252;95,2612;105,21709;161,77736;91,784;79,84249;186,07887;86,39191;67,51756;98,47557;96,8784
2,122;90,3413;87,1783;79,4469;66,42854;73,1459;86,009;77,0794;75,739;75,35649;73,9978;71,90868;69,73957;71,34331;100,15875;88,05539;146,6322;102,02105;222,64993;78,85868;70,969;67,23172;67,62652;76,93179;77,46214;71,42455;69,64222;68,15968;77,11597;63,91775;96,8383;95,6624;105,27704;161,99092;91,77656;79,65162;186,45323;86,26581;67,95443;98,68216;96,9367
2,1929984;90,9102;88,6398;80,5457;66,78085;74,3479;87,6581;78,46541;77,418;75,36076;75,0695;72,40303;69,4034;70,32976;100,97482;88,91562;148,6103;101,48489;222,2804;78,93177;70,43324;66,79558;67,84992;76,97531;78,38731;71,68066;69,7366;68,43867;77,47133;64,04097;97,0674;95,6152;106,33791;161,85358;91,77265;79,47412;186,71452;86,25803;67,91872;98,81338;96,9221
2,264;91,2785;89,0683;81,3568;66,73393;74,1945;88,4145;78,42127;77,934;75,026;74,9399;72,32849;69,34081;70,62055;101,26304;89,26525;148,6147;101,25954;222,02472;79,02809;70,88556;66,46356;67,26553;76,49161;78,4286;71,39267;69,77302;68,71036;77,76677;64,56607;97,3305;95,3129;106,91523;161,35004;92,19014;78,78915;187,17119;85,97165;68,09724;98,53664;96,7077
2,335;92,3654;89,3514;81,211;66,6814;74,216;88,5928;78,2089;78,53;74,96262;75,1252;72,11584;69,53381;70,46245;101,51036;89,07053;148,1738;101,66035;221,80774;78,70194;70,72139;66,46986;67,57379;76,56647;78,45059;71,7763;69,23955;68,60789;77,96006;64,38358;97,211;95,0234;106,5145;161,33241;92,00744;79,06406;187,46153;85,97199;68,20667;98,39008;96,5253
2,4049984;92,7956;89,0401;80,7984;66,73198;74,385;88,6497;77,89034;78,5345;74,84298;74,885;72,25427;69,54211;70,83343;101,17625;88,47079;147,5245;101,52063;221,56779;78,9548;71,17677;67,10648;67,50078;77,00285;78,15254;72,01382;68,9287;68,35307;77,46339;64,24785;97,6149;95,5242;105,79702;161,52362;91,85749;79,36333;187,15237;86,24146;68,09289;98,40393;96,9885
2,476;92,6574;88,6283;80,4376;66,47423;73,8561;87,6263;77,45018;77,8076;75,00508;74,3844;72,06744;69,52995;71,06889;100,76464;88,29641;146,8956;101,70895;221,69638;78,72771;70,88998;67,06633;67,44868;76,8202;77,66895;71,94261;68,55835;68,20958;77,51613;64,05927;97,5706;95,3419;105,47701;161,18555;91,87274;79,87412;186,84273;86,19298;68,23367;98,42434;96,8725
2,547;92,3839;88,2337;80,4636;66,71635;73,797;87,2451;77,52245;76,9517;75,09831;73,9713;72,37819;69,96851;71,71259;100,48696;87,84855;146,2466;101,40308;221,18877;78,85741;71,14646;67,10956;67,48705;77,14799;77,32708;71,90807;68,58579;67,79796;77,01997;63,87709;97,5213;95,6724;104,86324;161,24818;91,68;79,88564;185,90256;86,38631;68,09318;98,40706;97,1695
2,618;91,5044;88,4974;80,4441;66,81505;73,5945;86,7881;77,46849;76,4202;75,15031;73,7218;72,12068;69,51739;71,5432;100,46053;87,6097;146,5835;101,72605;221,72984;78,85192;71,17882;67,03384;67,30016;77,0516;76,94645;71,76196;68,8851;67,87337;77,09933;63,7215;97,4894;95,2606;105,1105;161,32449;91,71684;79,91211;185,62491;86,34743;67,88099;98,53917;97,145
2,688;91,8656;87,8199;80,6678;66,6968;73,62;86,7625;77,34149;76,3074;75,11456;73,3794;72,28397;69,62674;71,81536;100,20839;87,93293;146,8629;101,551;221,43471;78,98944;71,38931;67,27742;67,31888;77,17046;77,43743;71,67588;69,01026;67,82236;76,92345;63,91634;97,7667;95,5178;105,26672;161,84181;91,81525;79,83111;185,88107;86,26694;67,95239;98,54305;97,1282
2,7589984;91,2503;87,9429;80,4673;66,69802;73,7474;86,5062;77,30122;76,1882;75,44668;73,4701;72,37948;69,70209;71,99887;100,03375;87,53051;146,7183;101,59834;221,95131;79,02408;71,21969;67,31855;67,06365;77,06173;76,99207;71,81828;69,19466;67,82901;76,83487;63,876;97,4805;95,4292;105,20023;161,84651;91,71051;79,86274;186,07497;86,48737;67,94398;98,48883;97,0112
