Time;ROI
91,345;32,2335
91,4159984;32,159
91,487;32,0711
91,5579984;31,9448
91,6279984;31,6382
91,699;31,4333
91,7699984;31,3583
91,841;31,2813
91,911;31,1164
91,9819984;31,1638
92,053;31,2198
92,1239984;31,1198
92,1939984;31,2641
92,265;33,6092
92,3359984;33,5504
92,407;33,3198
92,477;33,002
92,5479984;32,5838
92,619;32,1917
92,6899984;31,8275
92,7599984;31,5325
92,831;31,3017
92,9019984;31,2354
92,973;31,2712
93,043;31,1544
93,1139984;31,1084
93,185;30,9687
93,2559984;30,7629
93,3259984;30,6852
93,397;32,598
93,4679984;32,3182
93,539;31,965
93,609;31,6193
93,6799984;31,2879
93,751;31,3294
93,8219984;31,3078
93,893;31,3353
93,963;31,1534
94,0339984;30,9504
94,105;30,9965
94,1759984;31,1692
94,2459984;31,5296
94,317;31,6905
94,3879984;31,7779
94,459;31,7929
94,529;33,5739
94,5999984;33,0198
94,671;32,4559
94,7419984;32,2063
94,8119984;31,7572
94,883;31,4749
94,9539984;31,1573
95,025;30,752
95,095;30,6229
95,1659984;30,6248
95,237;30,5007
95,3079984;30,513
95,3779984;31,7432
95,449;32,8248
95,5199984;32,4272
95,591;32,3056
95,661;32,1022
95,7319984;31,6679
95,803;31,0867
95,8739984;30,8332
95,9439984;30,6915
96,015;30,8528
96,0859984;30,9214
96,157;30,762
96,227;30,7403
96,2979984;30,6292
96,369;30,7079
96,4399984;30,9665
96,5099984;31,2779
96,581;33,3643
96,6519984;32,864
96,723;32,4866
96,793;32,252
96,8639984;32,0571
96,935;32,0169
97,0059984;31,7564
97,077;31,5804
97,147;31,2327
97,2179984;30,9786
97,289;30,6595
97,3599984;30,327
97,4299984;30,2768
97,501;30,3265
97,5719984;30,3095
97,643;30,5374
97,713;32,6696
97,7839984;32,7424
97,855;32,608
97,9259984;32,2023
97,9959984;32,0267
98,067;31,6041
98,1379984;31,4377
98,209;31,3574
98,279;31,4049
98,3499984;31,3383
98,421;31,3674
98,4919984;31,3618
98,5619984;31,106
98,633;31,1251
98,7039984;31,0062
98,775;30,7482
98,845;31,4765
98,9159984;32,7225
98,987;32,4348
99,0579984;32,222
99,1279984;31,9242
99,199;31,5973
99,2699984;31,1956
99,341;30,9493
99,411;30,8233
99,4819984;30,5047
99,553;30,4848
99,6239984;30,4252
99,6939984;30,413
99,765;30,4527
99,8359984;30,5259
99,907;30,9697
99,977;32,959
100,0479984;32,5538
100,119;32,1962
100,1899984;31,9339
100,261;31,8564
100,331;31,6209
100,4019984;31,4999
100,473;31,1867
100,5439984;30,9146
100,6139984;30,7327
100,685;30,543
100,7559984;30,4968
100,827;30,4576
100,897;30,4433
100,9679984;30,3709
101,039;30,4783
101,1099984;32,479
101,1799984;32,2097
101,251;31,9888
101,3219984;31,746
101,393;31,3622
101,463;31,0305
101,5339984;30,8236
101,605;31,0291
101,6759984;30,9185
101,7459984;30,819
101,817;30,8405
101,8879984;30,9959
101,959;30,9244
102,029;30,9298
102,0999984;31,0314
102,171;31,3141
102,2419984;33,0372
102,3119984;32,5369
102,383;32,0159
102,4539984;31,9384
102,525;31,7681
102,595;31,4558
