Time;ROI1;ROI2;ROI3;ROI4;ROI5;ROI6;ROI7;ROI8;ROI9;ROI10;ROI11;ROI12;ROI13;ROI14;ROI15;ROI16;ROI17;ROI18;ROI19;ROI20;ROI21;ROI22;ROI23;ROI24;ROI25;ROI26;ROI27;ROI28;ROI29;ROI30;ROI31;ROI32;ROI33;ROI34;ROI35;ROI36;ROI37;ROI38;ROI39;ROI40
1,769;25,3734;25,7182;22,4679;27,1674;22,2762;28,6992;23,54;24,0087;45,5773;26,534;21,3256;122,3941;57,4252;33,832;46,0796;48,9131;75,0964;62,63321;21,07668;99,7064;18,05385;20,59626;78,6266;82,363;26,1716;60,02;13,80195;90,5638;45,1543;72,1546;79,6597;23,01881;43,20543;21,86642;20,18557;62,116;24,41923;17,11553;28,26259;28,3248
1,8389984;25,8045;25,419;22,6315;27,3379;22,0596;28,6227;23,7069;24,0834;45,4174;27,8103;21,143;122,5825;58,3094;33,9048;47,1069;48,6969;74,858;62,13908;20,72264;102,9271;18,46356;21,71544;78,9639;83,1004;26,5611;64,3904;13,66112;89,1523;45,4833;70,7163;79,0441;22,8012;43,58048;21,90493;20,00887;61,5502;24,61198;17,12714;28,46247;28,21731
1,91;25,1804;24,8203;22,1617;28,1322;22,4772;28,7507;24,3577;23,5153;46,5566;29,8788;21,1707;121,7879;58,3128;33,5834;47,8507;48,2372;74,6536;62,04045;20,41635;102,6434;18,73542;21,97878;80,4679;85,9427;26,8836;75,0387;13,72633;88,7345;45,0727;68,3447;78,3778;22,73263;43,43416;21,82567;20,3595;61,8637;24,5802;17,3373;28,19809;27,83409
1,981;26,1121;25,4114;22,6095;27,7139;21,2125;27,8979;25,8697;23,2527;47,6275;30,7757;21,8145;121,5444;57,0169;33,1857;46,2202;49,1918;74,5445;62,2819;20,89776;98,0664;18,52878;22,71825;79,9683;87,6327;26,7157;79,7515;13,74451;88,1034;44,5808;67,3957;79,8597;22,96526;43,26657;22,06921;20,15526;62,0576;24,60798;17,02641;28,1756;27,90676
2,052;25,6629;25,4183;22,1572;27,8556;21,3594;27,9102;25,7774;22,688;49,5954;31,2171;23,0781;121,6455;56,1282;33,717;46,7157;48,6513;74,4722;62,28964;20,9136;92,9946;18,69318;23,00187;78,9345;85,2292;27,3953;83,3745;13,72832;88,1311;44,2374;67,0387;79,8353;23,15556;43,45265;21,70623;20,2323;61,6835;24,76929;17,49695;28,38338;28,23517
2,122;29,2343;27,9481;24,48;28,9299;22,9283;29,4809;27,1021;23,1267;50,9573;31,0813;26,6157;121,9849;57,45;33,6748;46,9922;48,667;74,0658;62,21373;20,70807;90,6856;18,9291;22,40156;77,8479;84,1152;26,5377;81,5953;13,3045;89,819;44,2444;64,9181;80,6268;22,99948;43,59181;22,13563;20,2953;62,0017;24,37727;17,24615;27,97379;28,21984
2,1929984;32,3127;30,7524;33,3778;30,795;36,3474;50,816;43,0172;50,4263;57,5365;45,5062;33,3508;121,6777;57,7521;35,3839;45,6054;48,681;74,1818;61,81823;20,02472;90,3341;18,80422;21,98689;76,8064;86,0581;26,5255;78,0382;13,66334;93,1951;45,4701;64,2695;78,8731;22,88427;43,30793;21,6454;20,35897;62,1514;24,38127;17,01916;27,89499;28,10189
2,264;30,5331;30,3929;31,1654;30,0288;32,4165;44,2954;39,4525;44,6899;50,3344;42,4237;31,5886;121,2378;57,4071;35,3352;47,1904;47,3703;73,7043;62,58252;20,02429;97,9302;18,2337;20,44462;74,0861;87,0909;26,8826;72,525;13,88844;93,7913;47,0488;66,1564;78,0627;22,64094;42,5963;20,86288;19,71635;61,9875;24,52795;17,2717;27,17948;27,78467
2,335;29,3144;28,3002;28,4594;29,8798;29,5328;39,8641;34,7649;39,7812;46,3;38,2847;28,7012;121,4096;58,0717;34,6862;46,9078;47,847;74,8206;61,54607;20,43029;101,3242;17,93664;20,82964;73,5274;87,4273;26,7067;67,6666;13,7831;95,0148;47,3601;68,5071;78,6058;22,82027;42,89985;21,57172;20,17617;62,0694;24,64251;16,73527;27,72461;27,91885
2,4049984;28,9145;27,6176;26,2713;28,8969;26,1484;36,3948;31,7132;35,6118;43,6929;33,7184;26,8361;121,8116;57,9627;34,2573;45,7356;48,378;74,4385;62,20399;20,97085;102,5855;18,26643;20,65023;76,66;86,9611;26,924;63,4529;13,92526;94,5453;47,0378;73,8447;79,4225;22,9117;43,52554;21,44465;20,07148;62,1807;24,73076;17,15704;28,08445;28,46961
2,476;27,3059;26,2083;24,5384;28,5006;24,6165;34,3571;28,2463;31,4002;44,1542;30,9639;24,3314;122,1592;57,3653;34,2889;47,7668;48,984;74,7263;62,12809;20,91149;99,6396;18,22752;19,96225;76,2335;84,7225;27,771;61,3491;13,81348;94,3594;45,8525;75,0202;78,8253;23,09705;43,63638;22,05637;20,66605;62,852;24,45627;17,47954;28,17143;28,33327
2,547;26,6747;25,8443;23,2747;27,6296;23,4441;31,4434;25,6211;28,1245;45,5064;27,8907;23,1471;122,3988;56,8967;34,373;47,0415;48,64;74,4691;62,00699;21,015;101,2367;18,29002;20,79657;76,7518;83,2941;28,0717;64,1126;13,64161;92,5433;45,5085;76,7067;78,9251;22,84444;43,44057;22,20074;19,9223;61,8188;24,0974;17,53498;28,46247;28,01064
2,618;26,3038;25,5047;23,3939;27,602;23,386;28,8298;24,6119;26,2395;46,6921;27,0822;22,1162;121,034;57,2394;34,313;46,0294;48,365;75,389;62,6417;21,38509;102,7922;18,30497;21,96162;76,3221;83,086;26,3549;65,2136;13,38212;91,3804;45,0826;75,7624;79,0852;23,00314;43,75364;22,58437;20,18901;61,179;24,50257;17,37184;28,29506;28,40289
2,688;25,6165;25,0289;23,0014;27,775;21,6912;28,3222;23,9846;24,2041;47,7376;26,4059;21,4011;121,687;57,3602;33,8602;47,0844;48,5508;75,4409;61,90062;20,95627;101,4792;18,4002;22,23869;76,3023;84,4661;26,1594;68,873;13,64804;89,9613;45,1972;74,9408;79,0633;22,90152;43,43224;21,86493;20,7088;61,2989;24,52887;17,32366;28,35776;28,15077
2,7589984;25,839;25,3323;23,3747;28,259;21,7935;28,2454;23,8786;24,3169;46,337;26,0632;21,5802;122,3197;57,3789;33,0593;46,2748;48,317;74,4449;61,99226;21,10372;96,8116;18,61512;23,16381;75,6242;84,9039;25,5978;71,8561;13,78155;89,4306;44,7065;74,7149;79,7184;22,31818;43,96366;22,23628;20,6409;61,3465;24,59117;17,89318;28,50894;28,37259
2,83;25,1597;24,6778;22,5987;28,389;21,617;28,5884;23,9335;22,9623;45,6293;26,0847;21,3191;121,2769;56,8865;32,3827;47,4072;48,9065;74,2465;62,54557;21,26553;90,9387;18,35042;22,71076;76,5855;86,0384;24,7832;78,2154;13,75139;88,2847;44,8053;72,8241;79,7428;23,03213;43,47274;21,83926;19,96731;61,2567;24,27026;17,15849;28,74933;28,37277
2,901;25,8597;25,5646;22,0867;27,5778;21,5549;28,8393;24,4816;23,0573;46,7278;27,0215;23,0123;121,5375;56,8148;33,6129;46,7347;48,0216;74,9568;62,50612;20,70997;89,7718;18,4606;22,54945;77,928;85,4055;25,423;81,307;13,55511;89,1943;45,0668;70,7578;79,4575;22,67137;43,48963;22,00893;19,9996;61,506;24,48279;17,382;28,33408;28,31596
2,9709984;24,9364;24,5723;22,5831;28,2221;21,4271;28,2873;24,3519;23,1935;47,9344;29,8047;24,7244;122,075;56,8515;33,6039;46,9295;48,804;74,5673;62,65743;20,96515;94,1836;18,27989;21,6468;77,0032;83,8536;25,7519;78,1972;13,55378;89,3313;44,3046;69,5153;79,3723;23,09156;43,62666;22,04819;20,11092;61,3294;24,08471;17,30334;28,30518;28,08945
3,042;25,1884;24,9948;22,817;27,6807;21,0947;28,4192;25,144;22,4779;48,4593;30,6732;29,5373;121,1928;57,1022;33,3007;46,791;48,2665;74,9087;61,74607;20,53992;100,2875;18,3561;22,03494;75,8566;83,6378;27,0239;75,2239;13,28099;90,9032;44,4763;67,6234;79,7187;23,00588;43,11298;22,21916;19,99391;62,1709;24,16223;17,11495;28,451;27,73634
3,113;25,0657;25,0853;22,7298;27,9912;20,6451;29,2082;25,3475;22,7152;48,1192;31,0564;28,7993;121,8476;56,9255;33,9212;46,2107;47,7613;73,9984;61,39925;20,36058;103,8055;18,24951;20,67956;76,4038;83,3979;26,5579;70,4447;13,80284;91,7668;44,0047;66,6213;80,1184;22,55825;43,15423;21,85098;20,10099;61,2393;24,0527;17,28302;28,15967;27,80559
